[0719/154046:ERROR:backend_impl.cc(2020)] Corrupt Index file
[0719/154046:ERROR:cache_util_win.cc(20)] Unable to move the cache: 5
[0719/154046:ERROR:cache_util.cc(134)] Unable to move cache folder C:\ProgramData\Altium\Altium Designer {FF83626F-D721-4B7A-AA7E-CAF67EAE1292}\BrowserCache to C:\ProgramData\Altium\Altium Designer {FF83626F-D721-4B7A-AA7E-CAF67EAE1292}\old_BrowserCache_000
[0719/154046:ERROR:cache_creator.cc(129)] Unable to create cache
[1004/143352:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143357:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143402:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143407:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143412:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143417:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143422:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143427:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143432:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143437:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143442:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143447:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143452:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143457:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143502:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143507:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143512:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143517:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143522:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143527:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143532:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143537:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143542:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143547:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143553:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143558:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143603:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143608:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143613:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143618:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143623:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143628:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143633:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143638:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143643:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143648:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143653:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143658:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143703:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143708:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143713:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143718:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143723:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143728:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143733:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143738:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143743:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143748:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143753:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143758:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143803:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143808:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143813:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143818:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143823:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143828:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143833:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143838:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143844:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143849:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143854:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143859:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143904:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143909:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143914:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143919:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143924:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143929:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143934:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143939:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143944:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143949:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143954:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/143959:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144004:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144009:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144014:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144019:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144024:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144029:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144034:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144039:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144044:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144049:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144054:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144059:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144104:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144109:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144115:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144120:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144125:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144130:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144135:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144140:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144145:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144150:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144155:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144200:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144205:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144210:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144215:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144220:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144225:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144230:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144235:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144240:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144245:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144250:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144255:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144300:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144305:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144310:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144315:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144320:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144325:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144330:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144335:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144340:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144345:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144351:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144356:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144401:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144406:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144411:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144416:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144421:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144426:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144431:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144436:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144441:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144446:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144451:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144456:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144501:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144506:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144511:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144516:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144521:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144526:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144531:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144536:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144541:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144546:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144551:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144556:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144601:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144606:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144611:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144616:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144621:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144627:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144632:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144637:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144642:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144647:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144652:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144657:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144702:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144707:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144712:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144717:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144722:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144727:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144732:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144737:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144742:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144747:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144752:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144757:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144802:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144807:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144812:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144817:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144822:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144827:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144832:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144837:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144842:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144847:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144852:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144857:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144903:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144908:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144913:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144918:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144923:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144928:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144933:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144938:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144943:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144948:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144953:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/144958:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145003:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145008:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145013:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145018:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145023:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145028:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145033:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145038:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145043:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145048:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145053:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145058:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145103:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145108:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145113:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145118:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145123:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145128:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145133:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145138:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145143:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145148:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145153:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145159:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145204:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145209:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145214:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145219:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145224:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145229:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145234:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145239:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145244:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145249:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145254:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145259:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145304:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145309:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145314:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145319:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145324:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145329:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145334:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145339:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145344:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145349:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145354:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145359:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145404:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145409:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145414:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145419:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145424:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145429:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145434:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145440:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145445:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145450:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145455:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145500:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145505:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145510:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145515:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145520:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145525:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145530:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145535:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145540:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145545:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145550:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145555:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145600:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145605:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145610:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145615:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145620:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145625:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145630:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145635:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145640:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145645:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145650:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145655:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145701:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145706:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145711:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145716:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145721:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145726:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145731:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145736:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145741:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145746:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145751:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145756:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145801:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145806:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145811:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145816:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145821:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145826:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145831:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145836:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145841:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145846:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145851:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145856:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145901:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145906:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145911:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145916:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145921:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145926:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145931:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145936:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145942:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145947:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145952:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/145957:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150002:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150007:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150012:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150017:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150022:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150027:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150032:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150037:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150042:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150047:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150052:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150057:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150102:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150107:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150112:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150117:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150122:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150127:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150132:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150137:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150142:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150147:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150152:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150157:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150202:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150207:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150212:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150218:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150223:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150228:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1004/150233:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
